,non,C,A,G,X,X1,X2,X3,node,tip,Species
199,0,0.996340136,1.79E-17,0.003659864,2.17E-17,3.37E-23,1.09E-17,9.49E-45,199,NA,NA
200,0,0.97193414,4.29E-16,0.02806586,3.05E-15,1.58E-20,1.72E-16,1.30E-41,200,NA,NA
201,0,0.997569662,2.02E-17,0.002430338,1.02E-16,2.43E-22,1.30E-17,2.56E-43,201,NA,NA
202,0,0.973073796,2.18E-16,0.026926204,2.78E-15,1.03E-20,1.55E-16,5.50E-42,202,NA,NA
203,0,0.999965434,3.37E-05,8.61E-07,8.55E-25,1.40E-21,1.24E-20,1.05E-53,203,NA,NA
204,0,0.999331551,0.000666816,1.63E-06,4.39E-23,2.91E-19,2.59E-20,9.22E-51,204,NA,NA
205,0,0.999982379,4.21E-07,1.72E-05,4.63E-20,2.44E-21,1.03E-19,9.21E-48,205,NA,NA
206,0,0.999365034,9.40E-18,0.000634966,1.87E-17,5.74E-23,5.55E-18,9.64E-45,206,NA,NA
207,0,0.974825082,1.67E-16,0.025174918,1.06E-15,4.65E-21,2.30E-16,1.12E-42,207,NA,NA
208,0,1,9.01E-18,1.79E-16,5.06E-22,3.89E-22,8.67E-31,2.73E-43,208,NA,NA
209,0,1,9.89E-19,1.88E-18,3.21E-23,3.20E-23,9.59E-33,2.06E-45,209,NA,NA
210,0,1,5.20E-18,5.32E-18,2.82E-22,2.82E-22,6.68E-32,1.60E-43,210,NA,NA
211,0,1,5.19E-18,5.31E-18,2.82E-22,2.83E-22,6.68E-32,1.60E-43,211,NA,NA
212,0,0.999991607,8.39E-06,9.08E-19,1.52E-24,7.99E-20,7.05E-21,5.16E-48,212,NA,NA
213,0,1,1.16E-17,1.15E-17,6.86E-22,6.86E-22,2.34E-31,9.43E-43,213,NA,NA
214,0,0.99967495,0.00032505,5.79E-18,2.15E-24,7.74E-19,2.07E-19,2.16E-47,214,NA,NA
215,0,1,2.27E-17,1.55E-17,2.47E-22,2.46E-22,1.20E-31,1.22E-43,215,NA,NA
216,0,0.98709608,0.01290392,1.42E-16,1.58E-21,1.76E-15,1.60E-17,3.12E-43,216,NA,NA
217,0,0.487413039,0.512586961,3.51E-16,3.02E-21,1.40E-15,7.01E-17,2.05E-42,217,NA,NA
218,0,0.499999897,0.500000103,2.01E-16,9.35E-21,2.46E-15,1.38E-15,6.33E-42,218,NA,NA
219,0,0.974206561,0.025793439,5.17E-18,4.94E-24,2.25E-17,4.14E-19,1.28E-48,219,NA,NA
220,0,0.999382181,0.000617819,2.49E-18,2.08E-23,1.72E-19,1.97E-18,5.00E-46,220,NA,NA
221,0,1,2.35E-17,8.51E-18,4.38E-23,4.19E-23,1.93E-31,3.77E-45,221,NA,NA
222,0,1,1.27E-17,1.21E-17,3.50E-22,3.50E-22,1.31E-31,2.46E-43,222,NA,NA
223,0,0.998764791,0.001235209,1.18E-17,1.07E-22,4.08E-17,1.23E-17,4.72E-44,223,NA,NA
224,0,0.974239578,0.025760422,2.26E-16,1.20E-20,3.19E-15,1.72E-16,7.48E-42,224,NA,NA
225,0,1,1.51E-17,5.48E-18,3.37E-22,3.31E-22,1.48E-31,2.23E-43,225,NA,NA
226,0,1.28E-16,1,3.31E-18,2.49E-23,2.34E-32,1.26E-24,3.21E-47,226,NA,NA
227,0,1.15E-17,1,5.80E-19,9.62E-24,1.19E-32,5.05E-24,1.19E-46,227,NA,NA
228,0,1.47E-18,1,7.74E-19,1.49E-23,8.21E-33,1.46E-23,4.47E-46,228,NA,NA
229,0,5.74E-18,1,5.61E-18,1.13E-22,7.08E-32,1.13E-22,2.56E-44,229,NA,NA
230,0,5.28E-18,1,5.28E-18,3.05E-22,7.10E-32,3.05E-22,1.86E-43,230,NA,NA
231,0,5.12E-18,1,5.00E-18,1.16E-22,7.56E-32,1.16E-22,2.69E-44,231,NA,NA
232,0,5.14E-18,1,5.14E-18,2.54E-22,5.87E-32,2.54E-22,1.29E-43,232,NA,NA
233,0,1.05E-18,1,5.50E-19,1.39E-23,5.37E-33,1.35E-23,3.83E-46,233,NA,NA
234,0,9.14E-19,1,8.94E-19,2.75E-23,6.03E-33,2.74E-23,1.51E-45,234,NA,NA
235,0,5.36E-18,1,5.36E-18,2.55E-22,6.03E-32,2.55E-22,1.31E-43,235,NA,NA
236,0,4.81E-18,1,4.81E-18,2.67E-22,5.96E-32,2.67E-22,1.43E-43,236,NA,NA
237,0,5.35E-18,1,5.23E-18,6.08E-23,6.21E-32,6.08E-23,7.42E-45,237,NA,NA
238,0,3.76E-18,1,3.76E-18,5.63E-23,3.34E-32,5.63E-23,6.37E-45,238,NA,NA
239,0,4.03E-18,1,4.03E-18,1.63E-22,3.33E-32,1.63E-22,5.35E-44,239,NA,NA
240,0,1.00E-17,1,5.04E-19,6.97E-24,9.24E-33,3.66E-24,6.49E-47,240,NA,NA
241,0,9.68E-19,1,5.09E-19,7.58E-24,5.18E-33,7.40E-24,1.15E-46,241,NA,NA
242,0,6.83E-18,1,6.67E-18,6.61E-23,5.55E-32,6.60E-23,8.77E-45,242,NA,NA
243,0,7.23E-18,1,7.23E-18,3.84E-22,1.04E-31,3.84E-22,2.95E-43,243,NA,NA
244,0,9.42E-19,1,9.21E-19,2.41E-23,7.11E-33,2.41E-23,1.17E-45,244,NA,NA
245,0,4.78E-18,1,4.78E-18,3.03E-22,6.72E-32,3.03E-22,1.84E-43,245,NA,NA
246,0,6.87E-18,1,6.87E-18,2.42E-22,6.54E-32,2.42E-22,1.18E-43,246,NA,NA
247,0,1.35E-18,1,7.11E-19,1.05E-23,8.42E-33,1.02E-23,2.19E-46,247,NA,NA
248,0,6.45E-18,1,6.31E-18,6.39E-23,5.62E-32,6.39E-23,8.21E-45,248,NA,NA
249,0,3.93E-18,1,3.93E-18,7.42E-23,4.99E-32,7.42E-23,1.10E-44,249,NA,NA
250,0,4.54E-18,1,4.54E-18,1.68E-22,3.69E-32,1.68E-22,5.70E-44,250,NA,NA
251,0,4.84E-18,1,4.73E-18,8.34E-23,7.71E-32,8.34E-23,1.40E-44,251,NA,NA
252,0,3.31E-18,1,3.31E-18,4.10E-23,2.78E-32,4.10E-23,3.38E-45,252,NA,NA
253,0,3.97E-18,1,3.97E-18,1.27E-22,2.58E-32,1.27E-22,3.22E-44,253,NA,NA
254,0,1,6.91E-12,2.68E-11,6.87E-27,5.89E-27,2.57E-26,4.57E-53,254,NA,NA
255,0,1,1.15E-19,1.18E-19,5.86E-25,5.86E-25,6.70E-35,6.89E-49,255,NA,NA
256,0,1,4.14E-19,4.14E-19,4.94E-24,4.94E-24,2.25E-33,4.89E-47,256,NA,NA
257,0,1,7.54E-18,7.54E-18,6.70E-23,6.70E-23,8.66E-32,8.99E-45,257,NA,NA
258,0,1,5.77E-18,5.77E-18,1.16E-22,1.16E-22,6.72E-32,2.68E-44,258,NA,NA
259,0,1,5.14E-18,5.14E-18,3.18E-22,3.18E-22,7.29E-32,2.03E-43,259,NA,NA
260,0,1,5.52E-19,5.52E-19,9.83E-24,9.83E-24,2.43E-33,1.94E-46,260,NA,NA
261,0,1,9.99E-19,9.99E-19,1.11E-23,1.11E-23,5.38E-33,2.47E-46,261,NA,NA
262,0,1,5.47E-18,5.47E-18,3.75E-22,3.75E-22,8.82E-32,2.82E-43,262,NA,NA
263,0,1,9.09E-18,9.09E-18,2.25E-22,2.25E-22,6.94E-32,1.01E-43,263,NA,NA
264,0,1,4.79E-18,4.79E-18,7.88E-23,7.88E-23,7.38E-32,1.25E-44,264,NA,NA
265,0,1,3.38E-18,3.38E-18,3.50E-23,3.50E-23,2.83E-32,2.46E-45,265,NA,NA
266,0,1,4.39E-18,4.39E-18,1.21E-22,1.21E-22,2.60E-32,2.93E-44,266,NA,NA
267,0,1,4.84E-19,4.84E-19,2.71E-24,2.71E-24,1.77E-33,1.47E-47,267,NA,NA
268,0,1,8.94E-18,8.94E-18,6.22E-23,6.22E-23,6.76E-32,7.76E-45,268,NA,NA
269,0,1,5.75E-18,5.75E-18,1.10E-22,1.10E-22,9.76E-32,2.43E-44,269,NA,NA
270,0,1,3.82E-18,3.82E-18,5.61E-23,5.61E-23,4.19E-32,6.32E-45,270,NA,NA
271,0,1,4.66E-18,4.66E-18,1.55E-22,1.55E-22,3.43E-32,4.80E-44,271,NA,NA
272,0,1,6.55E-19,6.55E-19,2.05E-23,2.05E-23,3.73E-33,8.46E-46,272,NA,NA
273,0,1,5.23E-18,5.23E-18,1.06E-22,1.06E-22,6.90E-32,2.25E-44,273,NA,NA
274,0,1,5.35E-18,5.35E-18,2.72E-22,2.72E-22,6.39E-32,1.48E-43,274,NA,NA
275,0,1,8.29E-19,8.29E-19,2.74E-23,2.74E-23,6.09E-33,1.50E-45,275,NA,NA
