13310puequi 0.106420 0.893570 0.000010
13318uniqui 0.108105 0.884659 0.007236
17996indbel 0.999980 0.000010 0.000010
17997indbel 0.999980 0.000010 0.000010
17998indbel 0.999980 0.000010 0.000010
17999indbel 0.999980 0.000010 0.000010
18000indbel 0.999972 0.000018 0.000010
18151nigbel 0.097619 0.902371 0.000010
18152puebel 0.204866 0.795124 0.000010
18153nigbel 0.091341 0.908649 0.000010
18154puebel 0.203209 0.796726 0.000064
18155nigbel 0.099527 0.897128 0.003345
18156nigbel 0.113133 0.882085 0.004782
18157nigbel 0.098330 0.901660 0.000010
18158nigbel 0.102238 0.897752 0.000010
18159nigbel 0.114118 0.884374 0.001508
18160gutbel 0.071838 0.924506 0.003656
18161puebel 0.128517 0.871473 0.000010
18162nigbel 0.092434 0.907556 0.000010
18163unibel 0.101598 0.898199 0.000203
18165nigbel 0.095141 0.904849 0.000010
18166puebel 0.209561 0.790429 0.000010
18169puebel 0.184504 0.815486 0.000010
18171nigbel 0.099388 0.899858 0.000755
18172puebel 0.227142 0.770831 0.002027
18174puebel 0.182431 0.817559 0.000010
18175puebel 0.211797 0.788193 0.000010
18176puebel 0.161603 0.838387 0.000010
18178puebel 0.219257 0.780733 0.000010
18179puebel 0.187913 0.812077 0.000010
18180puebel 0.157703 0.841432 0.000865
18185nigbel 0.106565 0.889864 0.003571
18187nigbel 0.093798 0.906192 0.000010
18195indbel 0.999980 0.000010 0.000010
18222indbel 0.999980 0.000010 0.000010
18225indbel 0.999980 0.000010 0.000010
18226indbel 0.999976 0.000014 0.000010
18227indbel 0.999979 0.000011 0.000010
18261unibel 0.116777 0.880458 0.002766
18263abebel 0.156194 0.843796 0.000010
18267unibel 0.132135 0.866385 0.001479
18274unibel 0.193879 0.805179 0.000942
18276unibel 0.189542 0.810448 0.000010
18418nigboc 0.050596 0.949394 0.000010
18419pueboc 0.103318 0.896672 0.000010
18420uniboc 0.073173 0.926817 0.000010
18421pueboc 0.103147 0.896843 0.000010
18422pueboc 0.104066 0.895924 0.000010
18424nigboc 0.049760 0.950230 0.000010
18426pueboc 0.100328 0.899662 0.000010
18427pueboc 0.100991 0.898999 0.000010
18428nigboc 0.052893 0.947097 0.000010
18429pueboc 0.108213 0.891777 0.000010
18430pueboc 0.105955 0.894035 0.000010
18432pueboc 0.111016 0.888974 0.000010
18434pueboc 0.112346 0.887644 0.000010
18435uniboc 0.073418 0.926572 0.000010
18439uniboc 0.077104 0.922186 0.000709
18440uniboc 0.078326 0.921343 0.000331
18441uniboc 0.076140 0.923850 0.000010
18442uniboc 0.070592 0.929398 0.000010
18445uniboc 0.078782 0.921208 0.000010
18446uniboc 0.077268 0.921569 0.001163
18447uniboc 0.078690 0.921300 0.000010
18448uniboc 0.071642 0.928348 0.000010
18449gumboc 0.013921 0.986069 0.000010
18450uniboc 0.078897 0.920966 0.000137
18452abeboc 0.063371 0.936619 0.000010
18454uniboc 0.070845 0.928843 0.000312
18471abeboc 0.053691 0.946299 0.000010
18492abebel 0.156853 0.843137 0.000010
18493abebel 0.153121 0.846869 0.000010
18901nigboc 0.048286 0.951704 0.000010
18902nigboc 0.054212 0.945778 0.000010
18903nigboc 0.051226 0.948764 0.000010
18904nigboc 0.068314 0.931676 0.000010
18905nigboc 0.050082 0.949908 0.000010
18906nigboc 0.072584 0.927406 0.000010
18907nigboc 0.059312 0.940678 0.000010
18909nigboc 0.056203 0.943787 0.000010
18912pueboc 0.104043 0.895947 0.000010
18915pueboc 0.107376 0.892614 0.000010
18917pueboc 0.112811 0.887179 0.000010
18935affboc 0.070855 0.929135 0.000010
18936affboc 0.061512 0.938478 0.000010
18949abegun 0.090312 0.909678 0.000010
18986affboc 0.079219 0.920771 0.000010
19076gutbar 0.012888 0.980171 0.006941
19077tanbar 0.028543 0.960605 0.010852
19079tanbar 0.031121 0.958550 0.010329
19080gutbar 0.020233 0.971420 0.008347
19104puegun 0.086003 0.913976 0.000021
19105niggun 0.117798 0.880756 0.001446
19106puegun 0.095410 0.904019 0.000571
19108puegun 0.101677 0.898313 0.000010
19124indgun 0.917891 0.082099 0.000010
19131niggun 0.104814 0.895176 0.000010
19150niggun 0.111729 0.888261 0.000010
19162indgun 0.988762 0.011228 0.000010
19174affgun 0.062430 0.937560 0.000010
19190indgun 0.913071 0.086919 0.000010
19235gutgun 0.052008 0.943766 0.004227
19294affgun 0.068028 0.931962 0.000010
19416chlbar 0.022916 0.957574 0.019510
19425chlbar 0.018710 0.962684 0.018606
19426puebar 0.025194 0.952407 0.022400
19427puebar 0.025059 0.954186 0.020755
19428puebar 0.027824 0.950111 0.022065
19435chlbar 0.017923 0.964371 0.017706
19437tanbar 0.034611 0.951582 0.013807
19519affgun 0.090471 0.909519 0.000010
19546abegun 0.090111 0.909565 0.000324
19708abegun 0.096608 0.903382 0.000010
19881unibel 0.115687 0.881418 0.002895
20068gutbel 0.060438 0.935642 0.003920
20069gutbel 0.096637 0.899554 0.003809
20092unibel 0.106644 0.889329 0.004027
20120unibel 0.125882 0.869132 0.004986
20126unibel 0.125351 0.871743 0.002906
20128unibel 0.133676 0.862949 0.003375
20135unibel 0.115491 0.879282 0.005227
20149unibel 0.102202 0.895005 0.002794
20418gumhon 0.000012 0.999978 0.000010
20419gumhon 0.000012 0.999978 0.000010
20420gumhon 0.000013 0.999977 0.000010
20421ranhon 0.070927 0.929063 0.000010
20425abehon 0.053968 0.946022 0.000010
20426gumhon 0.000013 0.999977 0.000010
20427gumhon 0.000012 0.999978 0.000010
20428gumhon 0.000011 0.999979 0.000010
20429ranhon 0.061220 0.938770 0.000010
20430ranhon 0.059631 0.940359 0.000010
20433abehon 0.058112 0.941466 0.000422
20435chlhon 0.066999 0.932991 0.000010
20551puehon 0.074824 0.920487 0.004689
20552puehon 0.064112 0.933452 0.002436
20553puehon 0.072399 0.924099 0.003502
20554puehon 0.073739 0.924215 0.002046
20555puehon 0.076282 0.921077 0.002642
20556puehon 0.078875 0.919142 0.001983
20558puehon 0.072878 0.926519 0.000604
20559puehon 0.070298 0.929214 0.000488
20560unihon 0.079952 0.918558 0.001490
20561unihon 0.079353 0.920637 0.000010
20562unihon 0.094215 0.903488 0.002296
20563unihon 0.082126 0.916905 0.000969
20564unihon 0.085000 0.912972 0.002028
20565unihon 0.080301 0.917907 0.001792
20566unihon 0.079658 0.917251 0.003091
20567unihon 0.079608 0.920067 0.000324
