13310puequi 0.029247 0.000010 0.043132 0.222505 0.311329 0.393777
13318uniqui 0.012523 0.000010 0.071445 0.103203 0.622260 0.190558
17996indbel 0.000010 0.000010 0.999950 0.000010 0.000010 0.000010
17997indbel 0.000010 0.000010 0.999950 0.000010 0.000010 0.000010
17998indbel 0.000010 0.000010 0.999950 0.000010 0.000010 0.000010
17999indbel 0.000010 0.000010 0.999950 0.000010 0.000010 0.000010
18000indbel 0.000010 0.000010 0.999950 0.000010 0.000010 0.000010
18151nigbel 0.006074 0.000010 0.040752 0.617969 0.155164 0.180031
18152puebel 0.021425 0.000010 0.132575 0.197013 0.174234 0.474743
18153nigbel 0.004307 0.000010 0.035545 0.629078 0.163465 0.167595
18154puebel 0.025168 0.000010 0.134046 0.184853 0.198381 0.457541
18155nigbel 0.001827 0.000960 0.054273 0.565017 0.278703 0.099221
18156nigbel 0.000010 0.000660 0.076686 0.518413 0.378592 0.025638
18157nigbel 0.011640 0.000010 0.043607 0.619980 0.165587 0.159177
18158nigbel 0.005477 0.000010 0.047422 0.614334 0.171982 0.160775
18159nigbel 0.000011 0.000010 0.069581 0.574269 0.263109 0.093021
18160gutbel 0.235303 0.000010 0.050713 0.043390 0.550722 0.119862
18161puebel 0.030130 0.000010 0.059270 0.251204 0.227020 0.432366
18162nigbel 0.001725 0.000010 0.035563 0.643047 0.156519 0.163136
18163unibel 0.023405 0.000010 0.039828 0.185842 0.356979 0.393935
18165nigbel 0.009803 0.000010 0.040207 0.612260 0.173761 0.163959
18166puebel 0.010014 0.000010 0.139325 0.192319 0.203691 0.454642
18169puebel 0.030504 0.000010 0.110087 0.206120 0.163833 0.489446
18171nigbel 0.000930 0.000093 0.045930 0.630574 0.178811 0.143661
18172puebel 0.023514 0.000933 0.160484 0.191183 0.193016 0.430870
18174puebel 0.031239 0.000010 0.106185 0.194598 0.160830 0.507139
18175puebel 0.026585 0.000010 0.141264 0.195760 0.181577 0.454803
18176puebel 0.030455 0.000010 0.089789 0.224743 0.193177 0.461825
18178puebel 0.022650 0.000010 0.147902 0.188785 0.169793 0.470859
18179puebel 0.019083 0.000010 0.116096 0.190662 0.203644 0.470505
18180puebel 0.025263 0.000010 0.088124 0.194023 0.237336 0.455245
18185nigbel 0.004268 0.001328 0.059933 0.553141 0.271205 0.110125
18187nigbel 0.005552 0.000010 0.037954 0.613142 0.174932 0.168410
18195indbel 0.000010 0.000010 0.999950 0.000010 0.000010 0.000010
18222indbel 0.000010 0.000010 0.999950 0.000010 0.000010 0.000010
18225indbel 0.000010 0.000010 0.999950 0.000010 0.000010 0.000010
18226indbel 0.000010 0.000010 0.999950 0.000010 0.000010 0.000010
18227indbel 0.000010 0.000010 0.999950 0.000010 0.000010 0.000010
18261unibel 0.017911 0.000010 0.066358 0.139375 0.467817 0.308528
18263abebel 0.038176 0.000010 0.081961 0.197663 0.183925 0.498264
18267unibel 0.023298 0.000010 0.069601 0.249916 0.281795 0.375379
18274unibel 0.011329 0.000010 0.120810 0.203968 0.190422 0.473461
18276unibel 0.012696 0.000010 0.117058 0.205275 0.193389 0.471572
18418nigboc 0.000010 0.000010 0.000010 0.999950 0.000010 0.000010
18419pueboc 0.036656 0.000010 0.024325 0.356439 0.113592 0.468977
18420uniboc 0.017496 0.000010 0.003196 0.193128 0.322234 0.463937
18421pueboc 0.025574 0.000010 0.027846 0.370208 0.143434 0.432929
18422pueboc 0.032714 0.000010 0.026009 0.353318 0.128992 0.458957
18424nigboc 0.000010 0.000010 0.000010 0.999950 0.000010 0.000010
18426pueboc 0.035473 0.000010 0.021914 0.348551 0.129756 0.464296
18427pueboc 0.029683 0.000010 0.025341 0.338460 0.147936 0.458570
18428nigboc 0.000010 0.000010 0.000010 0.999950 0.000010 0.000010
18429pueboc 0.034799 0.000010 0.029678 0.354762 0.122052 0.458699
18430pueboc 0.028739 0.000010 0.032667 0.335087 0.168844 0.434653
18432pueboc 0.037024 0.000010 0.029747 0.376425 0.084179 0.472615
18434pueboc 0.036350 0.000260 0.034182 0.358090 0.112155 0.458962
18435uniboc 0.008421 0.000010 0.002785 0.217381 0.314790 0.456613
18439uniboc 0.013048 0.000010 0.006644 0.209824 0.314775 0.455699
18440uniboc 0.001807 0.000010 0.009506 0.203795 0.343023 0.441860
18441uniboc 0.010673 0.000010 0.005312 0.199213 0.320847 0.463945
18442uniboc 0.009824 0.000010 0.000010 0.200282 0.319550 0.470325
18445uniboc 0.012766 0.000010 0.010421 0.194659 0.340358 0.441786
18446uniboc 0.014901 0.000010 0.010648 0.201800 0.333214 0.439426
18447uniboc 0.017248 0.000010 0.007699 0.204576 0.305714 0.464753
18448uniboc 0.009294 0.000010 0.000010 0.212766 0.308800 0.469121
18449gumboc 0.832687 0.000010 0.000010 0.000010 0.167273 0.000010
18450uniboc 0.005992 0.000010 0.008944 0.212621 0.317909 0.454524
18452abeboc 0.110823 0.000010 0.008405 0.181020 0.346424 0.353317
18454uniboc 0.017452 0.000010 0.002170 0.204830 0.332372 0.443166
18471abeboc 0.125107 0.000010 0.001499 0.183108 0.358941 0.331334
18492abebel 0.027816 0.000010 0.080610 0.211993 0.177872 0.501700
18493abebel 0.037522 0.000010 0.079478 0.190673 0.195011 0.497306
18901nigboc 0.000010 0.000010 0.000010 0.999950 0.000010 0.000010
18902nigboc 0.000010 0.000010 0.000010 0.999950 0.000010 0.000010
18903nigboc 0.000010 0.000010 0.000010 0.999950 0.000010 0.000010
18904nigboc 0.000010 0.000010 0.000010 0.999950 0.000010 0.000010
18905nigboc 0.000010 0.000010 0.000010 0.999950 0.000010 0.000010
18906nigboc 0.000010 0.000010 0.000979 0.998981 0.000010 0.000010
18907nigboc 0.000010 0.000010 0.000010 0.999950 0.000010 0.000010
18909nigboc 0.000010 0.000010 0.000010 0.999950 0.000010 0.000010
18912pueboc 0.035367 0.000010 0.026476 0.353826 0.121366 0.462955
18915pueboc 0.029026 0.000010 0.026642 0.361197 0.102971 0.480154
18917pueboc 0.030511 0.000010 0.032286 0.375429 0.083162 0.478602
18935affboc 0.021147 0.000010 0.004051 0.515471 0.157645 0.301677
18936affboc 0.024154 0.000010 0.000010 0.516203 0.096455 0.363168
18949abegun 0.032854 0.000010 0.014232 0.315296 0.165078 0.472530
18986affboc 0.025628 0.000010 0.012747 0.478589 0.160431 0.322595
19076gutbar 0.223869 0.000010 0.002667 0.000010 0.773434 0.000010
19077tanbar 0.000010 0.000010 0.000010 0.000010 0.999950 0.000010
19079tanbar 0.000010 0.000010 0.000010 0.000010 0.999950 0.000010
19080gutbar 0.200882 0.000010 0.000538 0.000010 0.798550 0.000010
19104puegun 0.030683 0.000010 0.017867 0.264786 0.263866 0.422787
19105niggun 0.023152 0.000488 0.053044 0.353184 0.222496 0.347636
19106puegun 0.021546 0.000010 0.028958 0.288533 0.269545 0.391408
19108puegun 0.034981 0.000010 0.031255 0.271412 0.228350 0.433992
19124indgun 0.000010 0.000010 0.895330 0.028088 0.000010 0.076552
19131niggun 0.028114 0.000010 0.034623 0.311362 0.207459 0.418432
19150niggun 0.004678 0.000010 0.055054 0.490731 0.230839 0.218687
19162indgun 0.000010 0.000010 0.979288 0.000010 0.020672 0.000010
19174affgun 0.035610 0.000010 0.000010 0.257018 0.206612 0.500741
19190indgun 0.000010 0.000010 0.894588 0.016371 0.000010 0.089011
19235gutgun 0.319958 0.000010 0.042286 0.017244 0.576639 0.043863
19294affgun 0.037952 0.000010 0.000010 0.271968 0.166318 0.523742
19416chlbar 0.000010 0.000044 0.004530 0.000010 0.995396 0.000010
19425chlbar 0.019923 0.000011 0.000014 0.000010 0.980032 0.000010
19426puebar 0.000012 0.002861 0.009438 0.000010 0.987669 0.000010
19427puebar 0.000012 0.001416 0.011776 0.000015 0.986771 0.000010
19428puebar 0.000010 0.000656 0.003542 0.000010 0.995772 0.000010
19435chlbar 0.063296 0.000010 0.000010 0.000010 0.936664 0.000010
19437tanbar 0.000010 0.000010 0.001016 0.000010 0.998944 0.000010
19519affgun 0.028529 0.000010 0.019501 0.282129 0.223058 0.446772
19546abegun 0.025698 0.000010 0.014832 0.300113 0.200394 0.458953
19708abegun 0.035036 0.000010 0.019874 0.301670 0.167507 0.475903
19881unibel 0.018707 0.000010 0.065352 0.158983 0.454509 0.302440
20068gutbel 0.301723 0.000010 0.048996 0.026382 0.568824 0.054065
20069gutbel 0.214441 0.000010 0.072800 0.051298 0.523404 0.138047
20092unibel 0.018187 0.000010 0.048320 0.175307 0.389803 0.368374
20120unibel 0.024255 0.000010 0.075864 0.151230 0.446250 0.302390
20126unibel 0.023497 0.000010 0.074151 0.155181 0.433307 0.313854
20128unibel 0.027649 0.000010 0.082217 0.139087 0.430693 0.320344
20135unibel 0.025075 0.000111 0.065098 0.161826 0.444537 0.303353
20149unibel 0.019274 0.000010 0.039599 0.177462 0.362371 0.401284
20418gumhon 0.999943 0.000017 0.000010 0.000010 0.000010 0.000010
20419gumhon 0.999950 0.000010 0.000010 0.000010 0.000010 0.000010
20420gumhon 0.999950 0.000010 0.000010 0.000010 0.000010 0.000010
20421ranhon 0.060710 0.000010 0.000010 0.210158 0.243265 0.485847
20425abehon 0.105754 0.000010 0.000010 0.271057 0.252143 0.371026
20426gumhon 0.999950 0.000010 0.000010 0.000010 0.000010 0.000010
20427gumhon 0.999950 0.000010 0.000010 0.000010 0.000010 0.000010
20428gumhon 0.999950 0.000010 0.000010 0.000010 0.000010 0.000010
20429ranhon 0.065052 0.000010 0.000010 0.211375 0.241559 0.481994
20430ranhon 0.063241 0.000010 0.000010 0.203557 0.256325 0.476857
20433abehon 0.085602 0.000010 0.000010 0.252412 0.283754 0.378212
20435chlhon 0.096326 0.000010 0.006827 0.298531 0.243281 0.355024
20551puehon 0.031407 0.001591 0.011107 0.233890 0.328351 0.393654
20552puehon 0.036498 0.000010 0.004368 0.267534 0.338644 0.352946
20553puehon 0.040117 0.000672 0.012393 0.272501 0.323824 0.350494
20554puehon 0.038096 0.000010 0.010440 0.236627 0.323912 0.390916
20555puehon 0.041810 0.000070 0.015636 0.262669 0.308394 0.371421
20556puehon 0.035850 0.000010 0.018984 0.273667 0.320027 0.351463
20558puehon 0.037785 0.000010 0.009771 0.230168 0.331831 0.390436
20559puehon 0.045285 0.000010 0.007595 0.263541 0.303013 0.380557
20560unihon 0.029476 0.000010 0.009890 0.206357 0.293372 0.460894
20561unihon 0.034309 0.000010 0.011776 0.205129 0.309200 0.439576
20562unihon 0.035267 0.000010 0.028993 0.212130 0.301470 0.422131
20563unihon 0.032105 0.000010 0.015267 0.209390 0.304523 0.438704
20564unihon 0.030389 0.000010 0.017495 0.216169 0.304889 0.431047
20565unihon 0.041941 0.000010 0.015191 0.217261 0.310955 0.414642
20566unihon 0.032933 0.000513 0.011909 0.214540 0.300163 0.439942
20567unihon 0.031821 0.000010 0.011663 0.212607 0.302150 0.441749
20568unihon 0.037091 0.000010 0.016525 0.209868 0.299569 0.436936
