13310puequi 0.015960 0.041783 0.097779 0.033441 0.216736 0.523205 0.045974 0.025113 0.000010
13318uniqui 0.006576 0.056081 0.316632 0.319979 0.055627 0.245075 0.000010 0.000010 0.000010
17996indbel 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
17997indbel 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
17998indbel 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
17999indbel 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18000indbel 0.000010 0.999917 0.000010 0.000010 0.000010 0.000013 0.000010 0.000010 0.000010
18151nigbel 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010
18152puebel 0.005195 0.136492 0.000010 0.025542 0.148049 0.566484 0.090632 0.027586 0.000010
18153nigbel 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010
18154puebel 0.008221 0.136115 0.000010 0.049864 0.157754 0.565000 0.074551 0.008475 0.000010
18155nigbel 0.000010 0.000760 0.030014 0.093564 0.875611 0.000010 0.000010 0.000010 0.000010
18156nigbel 0.000010 0.009241 0.075864 0.165473 0.749372 0.000010 0.000010 0.000010 0.000010
18157nigbel 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010
18158nigbel 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010
18159nigbel 0.000010 0.013717 0.013159 0.082921 0.890153 0.000010 0.000010 0.000010 0.000010
18160gutbel 0.235573 0.036315 0.328598 0.326129 0.021399 0.028488 0.023478 0.000010 0.000010
18161puebel 0.015457 0.059574 0.023289 0.013700 0.224749 0.558179 0.062422 0.042619 0.000010
18162nigbel 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010
18163unibel 0.010845 0.037016 0.108565 0.084056 0.194323 0.530659 0.034515 0.000010 0.000010
18165nigbel 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010
18166puebel 0.000010 0.141531 0.001282 0.036576 0.173919 0.548762 0.085739 0.012171 0.000010
18169puebel 0.011283 0.112517 0.000010 0.000010 0.195222 0.595228 0.079992 0.005729 0.000010
18171nigbel 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010
18172puebel 0.007791 0.159918 0.000010 0.086028 0.149920 0.517397 0.066216 0.012711 0.000010
18174puebel 0.012550 0.109927 0.000010 0.006973 0.161908 0.590213 0.103241 0.015168 0.000010
18175puebel 0.011058 0.143721 0.000010 0.023446 0.177240 0.562878 0.073556 0.008081 0.000010
18176puebel 0.015193 0.090183 0.000010 0.008591 0.241309 0.568174 0.073458 0.003073 0.000010
18178puebel 0.004413 0.150622 0.000010 0.026340 0.163708 0.565971 0.082891 0.006035 0.000010
18179puebel 0.004375 0.119001 0.000010 0.041046 0.161066 0.571168 0.088340 0.014984 0.000010
18180puebel 0.010896 0.091049 0.038065 0.006665 0.197897 0.580983 0.071481 0.002954 0.000010
18185nigbel 0.000010 0.008205 0.014993 0.115810 0.860942 0.000010 0.000010 0.000010 0.000010
18187nigbel 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010
18195indbel 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18222indbel 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18225indbel 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18226indbel 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18227indbel 0.000010 0.999920 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18261unibel 0.008392 0.057969 0.199630 0.194481 0.128647 0.391035 0.019826 0.000010 0.000010
18263abebel 0.022794 0.084707 0.000010 0.008111 0.194264 0.572007 0.113123 0.004974 0.000010
18267unibel 0.010509 0.063656 0.072365 0.036990 0.291955 0.468408 0.046594 0.009512 0.000010
18274unibel 0.000010 0.122708 0.000010 0.040973 0.167151 0.566015 0.083179 0.019943 0.000010
18276unibel 0.000010 0.119433 0.000010 0.044216 0.172028 0.576883 0.071014 0.016395 0.000010
18418nigboc 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010
18419pueboc 0.005005 0.034249 0.000010 0.000010 0.000010 0.694412 0.005314 0.260980 0.000010
18420uniboc 0.000010 0.011889 0.068291 0.000010 0.039998 0.807218 0.000010 0.072563 0.000010
18421pueboc 0.000918 0.039833 0.000011 0.000010 0.000010 0.685539 0.000010 0.273658 0.000010
18422pueboc 0.004131 0.037804 0.000010 0.000010 0.000010 0.703380 0.000010 0.254635 0.000010
18424nigboc 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010
18426pueboc 0.006214 0.033108 0.000010 0.000010 0.000010 0.705422 0.008813 0.246402 0.000010
18427pueboc 0.005087 0.037872 0.000010 0.000010 0.000012 0.715105 0.002937 0.238956 0.000010
18428nigboc 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010
18429pueboc 0.004895 0.040659 0.000010 0.000010 0.000010 0.695336 0.005114 0.253956 0.000010
18430pueboc 0.009615 0.045525 0.005129 0.000010 0.021712 0.674763 0.011360 0.231876 0.000010
18432pueboc 0.001755 0.039469 0.000010 0.000010 0.000010 0.684502 0.000010 0.274223 0.000010
18434pueboc 0.002852 0.042532 0.000010 0.000010 0.000010 0.693097 0.000010 0.261468 0.000010
18435uniboc 0.000010 0.009460 0.038628 0.004545 0.044275 0.817022 0.000010 0.086039 0.000010
18439uniboc 0.000010 0.014967 0.068511 0.000010 0.055728 0.779644 0.000010 0.081109 0.000010
18440uniboc 0.000010 0.015943 0.077113 0.015148 0.092272 0.747848 0.000010 0.051647 0.000010
18441uniboc 0.000010 0.014803 0.067864 0.010146 0.056598 0.783681 0.000010 0.066877 0.000010
18442uniboc 0.000010 0.009120 0.056196 0.000010 0.041096 0.819131 0.000010 0.074416 0.000010
18445uniboc 0.000010 0.018569 0.089192 0.000010 0.085615 0.753788 0.000010 0.052795 0.000010
18446uniboc 0.000010 0.017639 0.090994 0.004630 0.099010 0.728519 0.000034 0.059154 0.000010
18447uniboc 0.000010 0.017442 0.034332 0.015570 0.021738 0.827908 0.000010 0.082979 0.000010
18448uniboc 0.000010 0.009007 0.062722 0.000010 0.051547 0.790623 0.000010 0.086061 0.000010
18449gumboc 0.825555 0.000010 0.065522 0.108863 0.000010 0.000010 0.000010 0.000010 0.000010
18450uniboc 0.000010 0.018728 0.056071 0.006473 0.035487 0.796044 0.000010 0.087167 0.000010
18452abeboc 0.098629 0.006614 0.147693 0.032690 0.194285 0.462980 0.048400 0.008699 0.000010
18454uniboc 0.000010 0.010019 0.075295 0.000010 0.032124 0.795106 0.000010 0.087416 0.000010
18471abeboc 0.113789 0.000010 0.159624 0.035736 0.214892 0.437357 0.038573 0.000010 0.000010
18492abebel 0.012481 0.082278 0.000010 0.003697 0.215257 0.565998 0.113823 0.006445 0.000010
18493abebel 0.024141 0.080333 0.000010 0.024824 0.204836 0.543871 0.121966 0.000010 0.000010
18901nigboc 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010
18902nigboc 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010
18903nigboc 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999920 0.000010
