13310puequi 0.074871 0.783258 0.000010 0.141861
13318uniqui 0.082005 0.711428 0.007570 0.198997
17996indbel 0.999970 0.000010 0.000010 0.000010
17997indbel 0.999970 0.000010 0.000010 0.000010
17998indbel 0.999966 0.000014 0.000010 0.000010
17999indbel 0.999970 0.000010 0.000010 0.000010
18000indbel 0.999970 0.000010 0.000010 0.000010
18151nigbel 0.057871 0.890534 0.000010 0.051585
18152puebel 0.174002 0.718729 0.000010 0.107259
18153nigbel 0.051923 0.898228 0.000010 0.049839
18154puebel 0.173229 0.710136 0.000010 0.116626
18155nigbel 0.063141 0.858618 0.002010 0.076231
18156nigbel 0.079455 0.822971 0.004032 0.093542
18157nigbel 0.059393 0.882734 0.000010 0.057863
18158nigbel 0.062936 0.884006 0.000010 0.053048
18159nigbel 0.078543 0.851053 0.000010 0.070394
18160gutbel 0.054908 0.537523 0.005717 0.401851
18161puebel 0.095944 0.779513 0.000010 0.124533
18162nigbel 0.051848 0.903288 0.000010 0.044853
18163unibel 0.070346 0.781836 0.000010 0.147808
18165nigbel 0.055900 0.886591 0.000010 0.057499
18166puebel 0.178615 0.719498 0.000010 0.101876
18169puebel 0.153674 0.731970 0.000010 0.114346
18171nigbel 0.059802 0.891755 0.000010 0.048433
18172puebel 0.197892 0.690901 0.001400 0.109807
18174puebel 0.151290 0.731310 0.000010 0.117391
18175puebel 0.181367 0.707274 0.000010 0.111349
18176puebel 0.129817 0.751065 0.000010 0.119108
18178puebel 0.189251 0.703993 0.000010 0.106746
18179puebel 0.156684 0.731842 0.000010 0.111464
18180puebel 0.126601 0.749142 0.000026 0.124230
18185nigbel 0.070158 0.848840 0.002204 0.078798
18187nigbel 0.054105 0.891587 0.000010 0.054298
18195indbel 0.999970 0.000010 0.000010 0.000010
18222indbel 0.999970 0.000010 0.000010 0.000010
18225indbel 0.999970 0.000010 0.000010 0.000010
18226indbel 0.999970 0.000010 0.000010 0.000010
18227indbel 0.999970 0.000010 0.000010 0.000010
18261unibel 0.088362 0.739912 0.002651 0.169075
18263abebel 0.125221 0.744327 0.000010 0.130442
18267unibel 0.100296 0.773109 0.000549 0.126046
18274unibel 0.161947 0.738595 0.000010 0.099448
18276unibel 0.158058 0.739342 0.000010 0.102590
18418nigboc 0.000010 0.999970 0.000010 0.000010
18419pueboc 0.067443 0.826896 0.000010 0.105652
18420uniboc 0.039660 0.822416 0.000010 0.137915
18421pueboc 0.066896 0.834717 0.000010 0.098377
18422pueboc 0.067957 0.828760 0.000010 0.103273
18424nigboc 0.000010 0.999970 0.000010 0.000010
18426pueboc 0.064467 0.827477 0.000010 0.108046
18427pueboc 0.065482 0.828350 0.000010 0.106158
18428nigboc 0.000010 0.999970 0.000010 0.000010
18429pueboc 0.072295 0.823156 0.000010 0.104539
18430pueboc 0.070769 0.821159 0.000010 0.108062
18432pueboc 0.074650 0.826183 0.000010 0.099157
18434pueboc 0.076775 0.818919 0.000010 0.104296
18435uniboc 0.039673 0.834351 0.000010 0.125966
18439uniboc 0.043273 0.825611 0.000010 0.131106
18440uniboc 0.044621 0.830649 0.000010 0.124720
18441uniboc 0.042121 0.827481 0.000010 0.130388
18442uniboc 0.036352 0.833257 0.000010 0.130382
18445uniboc 0.045547 0.817673 0.000010 0.136769
18446uniboc 0.044631 0.819374 0.000437 0.135558
18447uniboc 0.045017 0.820953 0.000010 0.134019
18448uniboc 0.037674 0.835876 0.000010 0.126440
18449gumboc 0.018878 0.000010 0.000010 0.981102
18450uniboc 0.044916 0.832129 0.000010 0.122945
18452abeboc 0.035348 0.733674 0.000010 0.230968
18454uniboc 0.037300 0.825503 0.000010 0.137188
18471abeboc 0.026200 0.728947 0.000010 0.244843
18492abebel 0.124637 0.757622 0.000010 0.117731
18493abebel 0.121895 0.745866 0.000010 0.132229
18901nigboc 0.000010 0.999970 0.000010 0.000010
18902nigboc 0.003340 0.996640 0.000010 0.000010
18903nigboc 0.000010 0.999970 0.000010 0.000010
18904nigboc 0.018511 0.981469 0.000010 0.000010
18905nigboc 0.000019 0.999961 0.000010 0.000010
18906nigboc 0.023988 0.975992 0.000010 0.000010
18907nigboc 0.007830 0.992150 0.000010 0.000010
18909nigboc 0.004426 0.995554 0.000010 0.000010
18912pueboc 0.068219 0.826018 0.000010 0.105753
18915pueboc 0.070758 0.832807 0.000010 0.096425
