13310puequi 0.523132 0.024754 0.015910 0.096913 0.046028 0.217362 0.033502 0.000010 0.008997 0.033393
13318uniqui 0.245454 0.000015 0.006461 0.315929 0.000010 0.056339 0.035103 0.000010 0.020826 0.319853
17996indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010
17997indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010
17998indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010
17999indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010
18000indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010
18151nigbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010
18152puebel 0.566642 0.028620 0.005600 0.000011 0.090597 0.145046 0.130070 0.000010 0.007716 0.025689
18153nigbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010
18154puebel 0.565761 0.009629 0.008604 0.000010 0.074123 0.153742 0.136539 0.000010 0.001063 0.050518
18155nigbel 0.000010 0.000010 0.000010 0.029390 0.000010 0.874194 0.003060 0.000010 0.000010 0.093295
18156nigbel 0.000010 0.000010 0.000010 0.075386 0.000010 0.746197 0.014488 0.000010 0.000010 0.163869
18157nigbel 0.000010 0.000015 0.000010 0.000010 0.000013 0.999902 0.000010 0.000010 0.000010 0.000010
18158nigbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010
18159nigbel 0.000010 0.000014 0.000010 0.012578 0.000010 0.888378 0.016891 0.000010 0.000010 0.082090
18160gutbel 0.028780 0.000010 0.235666 0.328950 0.023332 0.020326 0.036930 0.000010 0.000010 0.325987
18161puebel 0.557743 0.042856 0.015479 0.023084 0.062374 0.223663 0.055460 0.000010 0.005308 0.014022
18162nigbel 0.000010 0.000018 0.000017 0.000010 0.000010 0.999895 0.000010 0.000010 0.000010 0.000010
18163unibel 0.530613 0.000010 0.010861 0.108205 0.034451 0.193695 0.036519 0.000010 0.001564 0.084073
18165nigbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010
18166puebel 0.548826 0.014193 0.000010 0.002802 0.085062 0.168618 0.141049 0.000010 0.002192 0.037238
18169puebel 0.595253 0.006105 0.011389 0.000010 0.079935 0.193998 0.095281 0.000010 0.018010 0.000010
18171nigbel 0.000010 0.000014 0.000010 0.000010 0.000010 0.999906 0.000010 0.000010 0.000010 0.000010
18172puebel 0.518734 0.013981 0.008122 0.000010 0.065884 0.145758 0.153099 0.000010 0.007924 0.086477
18174puebel 0.589902 0.015792 0.012658 0.000010 0.103085 0.159668 0.102698 0.000010 0.008258 0.007920
18175puebel 0.563201 0.009017 0.011206 0.000010 0.073622 0.174424 0.127294 0.000010 0.017308 0.023909
18176puebel 0.567988 0.003419 0.015155 0.000010 0.073398 0.239977 0.076354 0.000010 0.014828 0.008860
18178puebel 0.566049 0.007058 0.004635 0.000010 0.082964 0.160578 0.133875 0.000010 0.017848 0.026974
18179puebel 0.571805 0.015610 0.004560 0.000010 0.088304 0.158220 0.112998 0.000010 0.007048 0.041435
18180puebel 0.580962 0.002976 0.010799 0.037227 0.071585 0.197983 0.065792 0.000010 0.025588 0.007077
18185nigbel 0.000010 0.000010 0.000010 0.014459 0.000010 0.860052 0.009768 0.000010 0.000010 0.115662
18187nigbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010
18195indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010
18222indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010
18225indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010
18226indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999910 0.000010 0.000010 0.000010
18227indbel 0.000010 0.000010 0.000011 0.000010 0.000010 0.000010 0.999909 0.000010 0.000010 0.000010
18261unibel 0.390978 0.000010 0.008394 0.199159 0.019796 0.128522 0.046239 0.000010 0.012384 0.194508
18263abebel 0.571696 0.005400 0.022861 0.000010 0.113031 0.192651 0.077056 0.000010 0.008651 0.008634
18267unibel 0.468391 0.009612 0.010526 0.072321 0.046529 0.290876 0.059591 0.000010 0.005071 0.037072
18274unibel 0.566572 0.020708 0.000010 0.000010 0.083118 0.164258 0.113413 0.000010 0.010381 0.041521
18276unibel 0.577406 0.017124 0.000010 0.000010 0.070753 0.169381 0.110570 0.000010 0.009703 0.045033
18418nigboc 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18419pueboc 0.692897 0.260915 0.004937 0.000010 0.004977 0.000010 0.036224 0.000010 0.000010 0.000010
18420uniboc 0.806219 0.072199 0.000010 0.067075 0.000010 0.041413 0.005802 0.000010 0.007252 0.000010
18421pueboc 0.684570 0.273653 0.000874 0.000010 0.000016 0.000010 0.040723 0.000010 0.000124 0.000010
18422pueboc 0.702452 0.254623 0.004141 0.000010 0.000010 0.000010 0.037670 0.000010 0.001065 0.000010
18424nigboc 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18426pueboc 0.704443 0.246488 0.006141 0.000010 0.008787 0.000010 0.029752 0.000010 0.004351 0.000010
18427pueboc 0.714353 0.238979 0.004995 0.000010 0.002855 0.000010 0.034567 0.000010 0.004212 0.000010
18428nigboc 0.000010 0.999910 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
18429pueboc 0.694251 0.253910 0.004821 0.000010 0.004915 0.000015 0.042048 0.000010 0.000010 0.000010
18430pueboc 0.674049 0.231795 0.009597 0.004640 0.011385 0.022312 0.035775 0.000010 0.010428 0.000010
18432pueboc 0.683531 0.274284 0.001684 0.000010 0.000010 0.000010 0.040109 0.000010 0.000342 0.000010
18434pueboc 0.692518 0.261758 0.002679 0.000010 0.000010 0.000010 0.026303 0.000012 0.016689 0.000010
18435uniboc 0.816166 0.085937 0.000010 0.037692 0.000010 0.044755 0.010921 0.000010 0.000010 0.004489
18439uniboc 0.778752 0.080973 0.000010 0.067604 0.000010 0.056128 0.016494 0.000010 0.000010 0.000010
18440uniboc 0.747103 0.051353 0.000010 0.075913 0.000010 0.093286 0.009373 0.000010 0.007763 0.015179
18441uniboc 0.782504 0.066967 0.000010 0.067122 0.000010 0.056515 0.017195 0.000010 0.000010 0.009657
18442uniboc 0.817531 0.074407 0.000010 0.055315 0.000010 0.041039 0.011657 0.000010 0.000010 0.000010
18445uniboc 0.753100 0.052763 0.000010 0.088344 0.000010 0.085694 0.020049 0.000010 0.000010 0.000010
18446uniboc 0.727924 0.058905 0.000010 0.090190 0.000010 0.099564 0.018811 0.000010 0.000010 0.004565
