13310puequi 0.071435 0.381014 0.000013 0.011790 0.000010 0.033250 0.306013 0.135242 0.029111 0.002963 0.021130 0.008028
13318uniqui 0.328504 0.000010 0.004317 0.000010 0.000010 0.293062 0.277136 0.041305 0.027930 0.007513 0.000010 0.020193
17996indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999890 0.000010 0.000010 0.000010
17997indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999890 0.000010 0.000010 0.000010
17998indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999890 0.000010 0.000010 0.000010
17999indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999887 0.000012 0.000010 0.000010
18000indbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000011 0.999889 0.000010 0.000010 0.000010
18151nigbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999890 0.000010 0.000010 0.000010 0.000010
18152puebel 0.000010 0.232705 0.008490 0.014525 0.000010 0.018602 0.425038 0.095838 0.120811 0.000010 0.076722 0.007241
18153nigbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999890 0.000010 0.000010 0.000010 0.000010
18154puebel 0.000010 0.206465 0.004786 0.000010 0.000010 0.046264 0.442154 0.106931 0.127013 0.003523 0.062792 0.000041
18155nigbel 0.033305 0.000010 0.000010 0.000010 0.000010 0.087845 0.000010 0.878760 0.000010 0.000010 0.000010 0.000010
18156nigbel 0.081067 0.000010 0.000010 0.000010 0.000011 0.158225 0.000010 0.750258 0.010370 0.000010 0.000010 0.000010
18157nigbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999890 0.000010 0.000010 0.000010 0.000010
18158nigbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999890 0.000010 0.000010 0.000010 0.000010
18159nigbel 0.014517 0.000010 0.000010 0.000013 0.000010 0.075493 0.000010 0.898502 0.011404 0.000010 0.000010 0.000010
18160gutbel 0.321230 0.094538 0.007735 0.000010 0.000010 0.292288 0.000010 0.001586 0.037907 0.230905 0.013771 0.000010
18161puebel 0.007879 0.314042 0.009064 0.027623 0.000010 0.010010 0.370601 0.159288 0.047920 0.006033 0.042623 0.004908
18162nigbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999890 0.000010 0.000010 0.000010 0.000010
18163unibel 0.102895 0.233236 0.006923 0.000010 0.000010 0.075397 0.397370 0.127656 0.028666 0.004610 0.022323 0.000904
18165nigbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999890 0.000010 0.000010 0.000010 0.000010
18166puebel 0.000010 0.207435 0.000010 0.001532 0.000010 0.036716 0.425274 0.123121 0.131228 0.000010 0.073163 0.001492
18169puebel 0.000010 0.241349 0.003466 0.000010 0.000010 0.000010 0.448715 0.132948 0.085651 0.004151 0.066435 0.017245
18171nigbel 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010 0.999890 0.000010 0.000010 0.000010 0.000010
