21May3678_E11-L1_S109_L004_R1_001.fastq.gz,21May3678_E11-L1_S109_L004_R2_001.fastq.gz,19426puebar,19426puebar.L4,19426puebar-2,ILLUMINA,6000
21May3678_E12-L1_S110_L002_R1_001.fastq.gz,21May3678_E12-L1_S110_L002_R2_001.fastq.gz,20480tabhon,20480tabhon.L2,20480tabhon-2,ILLUMINA,6000
21May3678_E12-L1_S110_L003_R1_001.fastq.gz,21May3678_E12-L1_S110_L003_R2_001.fastq.gz,20480tabhon,20480tabhon.L3,20480tabhon-2,ILLUMINA,6000
21May3678_E12-L1_S110_L004_R1_001.fastq.gz,21May3678_E12-L1_S110_L004_R2_001.fastq.gz,20480tabhon,20480tabhon.L4,20480tabhon-2,ILLUMINA,6000
21May3678_F01-L1_S111_L002_R1_001.fastq.gz,21May3678_F01-L1_S111_L002_R2_001.fastq.gz,54650casliz,54650casliz.L2,54650casliz-2,ILLUMINA,6000
21May3678_F01-L1_S111_L003_R1_001.fastq.gz,21May3678_F01-L1_S111_L003_R2_001.fastq.gz,54650casliz,54650casliz.L3,54650casliz-2,ILLUMINA,6000
21May3678_F01-L1_S111_L004_R1_001.fastq.gz,21May3678_F01-L1_S111_L004_R2_001.fastq.gz,54650casliz,54650casliz.L4,54650casliz-2,ILLUMINA,6000
21May3678_F02-L1_S112_L002_R1_001.fastq.gz,21May3678_F02-L1_S112_L002_R2_001.fastq.gz,27707uniqui,27707uniqui.L2,27707uniqui-2,ILLUMINA,6000
21May3678_F02-L1_S112_L003_R1_001.fastq.gz,21May3678_F02-L1_S112_L003_R2_001.fastq.gz,27707uniqui,27707uniqui.L3,27707uniqui-2,ILLUMINA,6000
21May3678_F02-L1_S112_L004_R1_001.fastq.gz,21May3678_F02-L1_S112_L004_R2_001.fastq.gz,27707uniqui,27707uniqui.L4,27707uniqui-2,ILLUMINA,6000
21May3678_F03-L1_S113_L002_R1_001.fastq.gz,21May3678_F03-L1_S113_L002_R2_001.fastq.gz,62570gemarc,62570gemarc.L2,62570gemarc-2,ILLUMINA,6000
21May3678_F03-L1_S113_L003_R1_001.fastq.gz,21May3678_F03-L1_S113_L003_R2_001.fastq.gz,62570gemarc,62570gemarc.L3,62570gemarc-2,ILLUMINA,6000
21May3678_F03-L1_S113_L004_R1_001.fastq.gz,21May3678_F03-L1_S113_L004_R2_001.fastq.gz,62570gemarc,62570gemarc.L4,62570gemarc-2,ILLUMINA,6000
21May3678_F04-L1_S114_L002_R1_001.fastq.gz,21May3678_F04-L1_S114_L002_R2_001.fastq.gz,62264pueala,62264pueala.L2,62264pueala-2,ILLUMINA,6000
21May3678_F04-L1_S114_L003_R1_001.fastq.gz,21May3678_F04-L1_S114_L003_R2_001.fastq.gz,62264pueala,62264pueala.L3,62264pueala-2,ILLUMINA,6000
21May3678_F04-L1_S114_L004_R1_001.fastq.gz,21May3678_F04-L1_S114_L004_R2_001.fastq.gz,62264pueala,62264pueala.L4,62264pueala-2,ILLUMINA,6000
21May3678_F05-L1_S115_L002_R1_001.fastq.gz,21May3678_F05-L1_S115_L002_R2_001.fastq.gz,62549ecoarc,62549ecoarc.L2,62549ecoarc-2,ILLUMINA,6000
21May3678_F05-L1_S115_L003_R1_001.fastq.gz,21May3678_F05-L1_S115_L003_R2_001.fastq.gz,62549ecoarc,62549ecoarc.L3,62549ecoarc-2,ILLUMINA,6000
21May3678_F05-L1_S115_L004_R1_001.fastq.gz,21May3678_F05-L1_S115_L004_R2_001.fastq.gz,62549ecoarc,62549ecoarc.L4,62549ecoarc-2,ILLUMINA,6000
21May3678_F06-L1_S116_L002_R1_001.fastq.gz,21May3678_F06-L1_S116_L002_R2_001.fastq.gz,PL17_98indbel,PL17_98indbel.L2,PL17_98indbel-2,ILLUMINA,6000
21May3678_F06-L1_S116_L003_R1_001.fastq.gz,21May3678_F06-L1_S116_L003_R2_001.fastq.gz,PL17_98indbel,PL17_98indbel.L3,PL17_98indbel-2,ILLUMINA,6000
21May3678_F06-L1_S116_L004_R1_001.fastq.gz,21May3678_F06-L1_S116_L004_R2_001.fastq.gz,PL17_98indbel,PL17_98indbel.L4,PL17_98indbel-2,ILLUMINA,6000
21May3678_F07-L1_S117_L002_R1_001.fastq.gz,21May3678_F07-L1_S117_L002_R2_001.fastq.gz,20435chlhon,20435chlhon.L2,20435chlhon-2,ILLUMINA,6000
21May3678_F07-L1_S117_L003_R1_001.fastq.gz,21May3678_F07-L1_S117_L003_R2_001.fastq.gz,20435chlhon,20435chlhon.L3,20435chlhon-2,ILLUMINA,6000
21May3678_F07-L1_S117_L004_R1_001.fastq.gz,21May3678_F07-L1_S117_L004_R2_001.fastq.gz,20435chlhon,20435chlhon.L4,20435chlhon-2,ILLUMINA,6000
21May3678_F08-L1_S118_L002_R1_001.fastq.gz,21May3678_F08-L1_S118_L002_R2_001.fastq.gz,19416chlbar,19416chlbar.L2,19416chlbar-2,ILLUMINA,6000
21May3678_F08-L1_S118_L003_R1_001.fastq.gz,21May3678_F08-L1_S118_L003_R2_001.fastq.gz,19416chlbar,19416chlbar.L3,19416chlbar-2,ILLUMINA,6000
