Sample node,Individual,clade,small,large,out
0,13310puequi,large,0.015216736403021095,0.9847832635969616,0.0
1,13310puequi,large,0.01347582539136556,0.9865241746085831,0.0
2,13318uniqui,large,0.01503860005089332,0.9849613999490702,0.0
3,13318uniqui,large,0.015868191927567298,0.9841318080723975,0.0
4,17996indbel,large,0.00846375104143073,0.9915362489585576,0.0
5,17996indbel,large,0.008688889746650432,0.9913111102533262,0.0
6,17997indbel,large,0.009150943876447422,0.9908490561235315,0.0
7,17997indbel,large,0.010720631834119785,0.9892793681658628,0.0
8,17998indbel,large,0.010035717185194878,0.989964282814777,0.0
9,17998indbel,large,0.009541401314237313,0.9904585986857602,0.0
10,17999indbel,large,0.00899514463848649,0.9910048553615056,0.0
11,17999indbel,large,0.00990765292815454,0.9900923470718369,0.0
12,18000indbel,large,0.007882067733447998,0.9921179322665253,0.0
13,18000indbel,large,0.009316790945711285,0.9906832090542663,0.0
14,18151nigbel,large,0.017048220329245974,0.9829517796707127,0.0
15,18151nigbel,large,0.017647870776238195,0.9823521292237263,0.0
16,18152puebel,large,0.01562673373561447,0.9843732662644022,0.0
17,18152puebel,large,0.015584501026905631,0.9844154989730637,0.0
18,18153nigbel,large,0.01571286538287277,0.9842871346170985,0.0
19,18153nigbel,large,0.015707092749422565,0.9842929072505286,0.0
20,18154puebel,large,0.013873640374627225,0.9861263596253677,0.0
21,18154puebel,large,0.013554357185740886,0.9864456428142659,0.0
22,18155nigbel,large,0.014808111717515605,0.98519188828244,0.0
23,18155nigbel,large,0.014628861254093626,0.9853711387459014,0.0
24,18156nigbel,large,0.01534465345435166,0.9846553465456476,0.0
25,18156nigbel,large,0.01668404817764109,0.9833159518223223,0.0
26,18157nigbel,large,0.014778546527861966,0.9852214534721131,0.0
27,18157nigbel,large,0.017021491108450627,0.9829785088915225,0.0
28,18158nigbel,large,0.014431015126744804,0.9855689848732501,0.0
29,18158nigbel,large,0.015675310722077947,0.9843246892778699,0.0
30,18159nigbel,large,0.01666463361289572,0.9833353663870821,0.0
31,18159nigbel,large,0.014501372866067565,0.985498627133911,0.0
32,18160gutbel,large,0.013522693246329556,0.9864773067536342,0.0
33,18160gutbel,large,0.013650852128573816,0.9863491478714039,0.0
