time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	43.92029999999999	134.162	543.3909999999998
1	2.71271e-06	6.23343e-06	43.92029999999999	134.162	543.3909999999998
2	6.23343e-06	1.08029e-05	43.92029999999999	182.779	543.3909999999998
3	1.08029e-05	1.67334e-05	43.92029999999999	88.9201	543.3909999999998
4	1.67334e-05	2.44304e-05	44.95347999999999	118.166	515.7057999999998
5	2.44304e-05	3.44201e-05	49.0862	111.956	404.9649999999999
6	3.44201e-05	4.73853e-05	73.6793	89.3385	359.33410000000003
7	4.73853e-05	6.42125e-05	109.73232000000002	90.8695	366.72119999999995
8	6.42125e-05	8.60519e-05	169.86440000000002	112.986	424.6849999999999
9	8.60519e-05	0.000114397	273.7042	151.249	503.9088999999999
10	0.000114397	0.000151184	440.375	219.17	594.793
11	0.000151184	0.000198929	625.5622	313.95	691.2479
12	0.000198929	0.000260896	744.8141999999999	400.014	797.3177999999999
13	0.000260896	0.000341321	756.6713	453.493	892.5394000000001
14	0.000341321	0.000445702	739.84	493.053	964.3297999999999
15	0.000445702	0.000581173	742.8704999999998	538.587	1010.5715
16	0.000581173	0.000756998	772.8933999999998	597.067	1044.098
17	0.000756998	0.000985194	816.5386000000001	670.162	1067.092
18	0.000985194	0.00128136	870.5367000000001	759.463	1089.1369999999997
19	0.00128136	0.00166575	918.4975	863.603	1105.525
20	0.00166575	0.00216463	925.1074999999998	964.56	1087.5800000000002
21	0.00216463	0.00281211	875.4142	1006.04	1019.5638000000001
22	0.00281211	0.00365246	757.6526	930.857	879.1386000000001
23	0.00365246	0.00474311	587.1428000000001	748.775	665.5338999999999
24	0.00474311	0.00615864	432.0575	524.834	461.9815
25	0.00615864	0.0079958	305.42600000000004	331.757	300.04
26	0.0079958	0.0103802	217.18670000000003	209.476	195.4726
27	0.0103802	0.0134748	167.47699999999998	142.831	139.2466
28	0.0134748	0.0174912	173.724	142.831	114.987
29	0.0174912	0.0227039	111.53516000000002	35.6565	100.60747999999998
30	0.0227039	0.0294694	18.251899999999996	35.6565	79.0382
31	0.0294694	inf	18.2519	35.6565	79.0382
