"","non","C","A","G","X","X1","X2","X3","node"
"59",0,1.04875713424037e-05,1.19386656839704e-08,0.999989500485855,9.27971123783802e-13,1.98565182777967e-14,3.18887631733135e-12,2.72055518811761e-28,59
"60",0,2.0975148187407e-05,2.38773298065135e-08,0.999979000974216,2.67217110499025e-13,1.12160316862153e-20,8.88737095499929e-18,1.22913827146112e-37,60
"61",0,0.000121939969573881,1.38811935074806e-07,0.999877921218404,8.70816725124982e-14,3.501949927673e-21,3.07350584526235e-18,6.06833388438183e-41,61
"62",0,0.00109393760501787,1.24529801192863e-06,0.9989048170969,7.01786205349167e-14,2.66260141899805e-21,2.33873727830873e-18,3.98194749109665e-42,62
"63",0,0.0104514474050019,1.18975400978479e-05,0.98953665505485,5.03680725076639e-14,2.54763199009743e-20,2.23794032147856e-17,3.7159926134683e-43,63
"64",0,0.100537062343107,0.000114447657691552,0.899348489999174,2.71500263864389e-14,1.73899707262866e-20,1.53630602792374e-17,2.50149923901197e-46,64
"65",0,0.000967701455129976,3.74997220521182e-16,0.99903229854487,4.22744721934314e-17,1.24348300113531e-22,3.58113363883739e-18,1.13169603356956e-43,65
"66",0,0.00197119375973657,2.18983864929032e-16,0.998028806240263,5.47783063008874e-17,1.48066630090082e-22,4.41462280160019e-17,1.18630709265646e-43,66
"67",0,0.0116319062980586,3.49073326074214e-16,0.98836809370194,1.51050534351095e-16,2.46109756242642e-22,4.25359141870914e-16,3.51877428278106e-43,67
"68",0,0.10463647161323,9.36419409489664e-16,0.895363528386764,8.112917587073e-16,3.03432677287892e-21,3.31707589044836e-15,2.24654967855742e-42,68
"69",0,0.95948777533309,0.00110083128361671,0.0394113933832927,1.58824786230761e-16,1.68154615474279e-19,1.0078883781238e-17,8.392146185334e-47,69
"70",0,0.956210723625946,2.34606715993209e-16,0.0437892763740536,1.86533175114296e-17,1.68201260319043e-23,9.3229533790011e-17,1.55557356917456e-45,70
"71",0,0.965296427080499,6.42166804773584e-16,0.0347035729194996,3.87381597406295e-16,2.9578059760169e-22,2.37845223273837e-16,4.65966522685939e-43,71
"72",0,0.874462884611591,1.5150621880008e-15,0.125537115388401,4.61982617838603e-15,5.48709157105049e-21,1.27611417913846e-15,7.37848247961889e-42,72
"73",0,0.947370954911555,4.23174126235093e-16,0.0526290450884444,1.56162488752511e-16,4.25996700923795e-23,2.29588447650794e-16,2.64719375815977e-44,73
"74",0,0.861482791121667,1.77076941369063e-15,0.138517208878327,3.33739334591007e-15,4.29517875806197e-21,1.01056525611815e-15,4.61232516557626e-42,74
"75",0,0.965370469930044,3.9785355012096e-16,0.0346295300699551,4.97020367183027e-16,3.07303008069163e-22,2.58355818698639e-16,4.634252925656e-43,75
"76",0,0.874529961614868,8.99362316282978e-16,0.125470038385127,3.04677351928732e-15,2.78925803932406e-21,9.1896236513872e-16,1.94808645613584e-42,76
"77",0,0.997174151550446,0.00256695467728296,0.000258893772271361,3.41157379408093e-20,2.89632740930366e-20,7.82139614353124e-18,1.12505401283094e-50,77
"78",0,0.986374489501769,0.0131725689353203,0.000452941562911078,3.29477366410906e-21,1.55556067805688e-18,1.66015791391283e-17,1.90039050420983e-49,78
"79",0,0.886110397417367,0.113889602582631,2.27282847588861e-15,4.47514958056784e-23,2.82111124161339e-17,7.97453856463143e-17,6.35524168396701e-46,79
"80",0,0.990291540916154,0.00970845908384524,4.72546154459974e-16,2.86139305330863e-22,4.03269206712858e-17,4.68959169487539e-17,1.4985884557176e-43,80
"81",0,0.980705722897696,0.0192942771023028,3.89595292303514e-16,4.2685932166335e-22,6.43126601648842e-16,2.53998194778022e-16,8.98286097448335e-43,81
