Dim.1	Dim.2	Dim.3
bialsites_avg	1.68582120579035	0.112860939582989	0.204068361077369
bialsites_std	1.71651876814748	0.0150689343643164	0.039385126761652
sf_avg	0.0027652015771898	3.50809847397295	4.62942569443538
sf_std	0.00169088231594868	5.880473220494	0.0915252251236128
sxA_avg	1.57511131797983	0.121183458516955	1.34219718512839
sxA_std	1.63428785761558	0.0354379999453677	0.410659051345103
sxB_avg	1.58531542726799	0.0609264676846908	0.0788325406523031
sxB_std	1.56933556842247	0.151365017969546	0.217935319158637
ss_avg	1.68657647969265	0.150195759921167	0.00559708207602042
ss_std	1.70824158128192	0.0193817818689143	0.167256045097197
successive_ss_avg	0.975702980097931	0.90493493424572	4.10504194962298
successive_ss_std	0.0131928326957439	2.50856502337612	7.8052477184832
piA_avg	1.69340500920184	0.114441426829178	0.183778052217725
piA_std	1.72724472621216	0.00587198249466523	0.00309786857591353
piB_avg	1.69918353107919	0.0872947901169622	0.0091118411479145
piB_std	1.71683987892537	0.0135608414226522	0.0666505196004321
pearson_r_pi	1.06637643825353	1.67391414510081	0.186048269915075
thetaA_avg	1.68098895640829	0.141890723663958	0.245208509904963
thetaA_std	1.72825082984405	0.000436861710586744	0.00788408684615017
thetaB_avg	1.6864774361564	0.115049259886468	0.0233836872826294
thetaB_std	1.72208606245652	0.000158300537045257	0.0169894439224486
pearson_r_theta	1.08093646212655	1.47567991319957	0.450585751126141
DtajA_avg	0.00706101655428779	2.13897851560795	9.07225296009436
DtajA_std	1.12024860447022	1.10871148794615	2.1670172230456
DtajB_avg	0.00244482267790945	2.56927679144527	3.87534810318835
DtajB_std	0.990978993663165	1.63209358181862	0.267313893559054
divAB_avg	1.7243768925061	0.0218087593603493	0.0866327838441207
divAB_std	1.70566605431335	0.0634838089832232	0.0107501692244616
netdivAB_avg	0.170776815033519	5.7817034856549	0.249147974315348
netdivAB_std	0.77097229568439	3.55322815311986	0.34026290781577
FST_avg	0.843259302894019	2.84477955517438	0.538948338030785
FST_std	1.02648072082497	2.08055171873321	0.64178218335013
pearson_r_divAB_netDivAB	1.11719581753122	1.65678117839834	0.0152946094307223
pearson_r_divAB_FST	0.915930962049445	1.25961437053692	0.00287833342007194
pearson_r_netDivAB_FST	0.977403172006324	0.941288067804512	0.0184789606187088
ss_sf	0.013977317792281	3.98085395060986	0.694705958903605
ss_noSf	0.00273808424268488	3.31439600507976	7.76458753800949
noSs_sf	0.0198126173381764	0.725803858644612	9.89835335529039
noSs_noSf	0.0392941721495948	0.112551490279028	5.07538623066371
fA0_fB1	1.46071996936235	0.418074977400126	0.379657808765621
fA0_fB2	1.61606665939112	0.0164323992300095	0.0758387885735966
fA0_fB3	1.43599683230662	0.613211129780782	0.0427204229023129
fA0_fB4	0.680262381824224	3.35561930162113	0.291746182683165
fA0_fB5	0.145026804575394	5.34762615776392	0.0163614453233987
fA0_fB6	0.00388310160127695	3.11761992136112	6.61936642857699
fA1_fB0	1.47152031483785	0.422934703206062	1.45237306977157
fA1_fB1	1.51536061598742	0.568191144039178	0.309942557257189
fA1_fB2	1.60421481431933	0.370679650843962	0.151051340540828
fA1_fB3	1.68976060986483	0.127004389129034	0.0384229999968918
fA1_fB4	1.69840543920172	0.0154266732272704	0.00130496072297919
fA1_fB5	1.29706344964923	1.02763943127764	0.0385647321247256
fA1_fB6	0.140348352232677	2.90598789335617	5.05729219938291
fA2_fB0	1.60804409383105	0.0616178566524634	0.996012071711637
fA2_fB1	1.60598778482266	0.357372613346654	0.114478944793255
fA2_fB2	1.62637865541947	0.305679973156713	0.0450903551407138
fA2_fB3	1.66631394798513	0.181120747694695	0.00561983416045926
fA2_fB4	1.70149093064812	0.0295622778046887	0.00861106490149204
fA2_fB5	1.61492285202173	0.129235265303146	0.0698257326131165
fA2_fB6	0.474680005450873	2.17441144756057	2.84510663108146
fA3_fB0	1.53670349334915	0.186485372253289	0.663397282397312
fA3_fB1	1.6922151092696	0.103434729279544	0.00261080801808122
fA3_fB2	1.66851786601724	0.168242611813195	7.39812224208722e-06
fA3_fB3	1.66531443802661	0.144258051896685	0.0060309416368234
fA3_fB4	1.67614026087037	0.0655017193231088	0.0312847085313755
fA3_fB5	1.65981089310773	0.00268333944943571	0.0911368795434947
fA3_fB6	0.914742644629298	1.21653183582082	1.26427709398485
fA4_fB0	0.987528414138294	1.97904564723397	0.376256431131637
fA4_fB1	1.68048414603397	0.0412782592368954	0.161957091423104
fA4_fB2	1.70068180107994	0.0172841173948193	0.106300769957946
fA4_fB3	1.67610922135827	0.0594483457155962	0.088126641882668
fA4_fB4	1.6591699398021	0.0562326006854073	0.0986007897885033
fA4_fB5	1.64716074497313	0.00866165027838676	0.13330944820167
fA4_fB6	1.22427404509255	0.493941972206197	0.458174976448706
fA5_fB0	0.250451141918157	4.69936459857753	0.342507070031715
fA5_fB1	1.138306924729	1.52158916049101	1.16093508669015
fA5_fB2	1.5654479391482	0.251537740227193	0.824488866683568
fA5_fB3	1.65029101788147	0.0109686364742062	0.490086482791412
fA5_fB4	1.6460132541865	0.0055844422223136	0.322521997461438
fA5_fB5	1.62796872071715	0.0119964163515732	0.241940239327671
fA5_fB6	1.34859699795441	0.155589255287249	0.161727860908672
fA6_fB0	0.00135225781924698	3.15162125163198	2.18605773231752
fA6_fB1	0.0481569574630732	4.68111456345119	0.612228557847433
fA6_fB2	0.224056846556354	4.03389788838968	2.31522058123277
fA6_fB3	0.563676994263966	2.6476401185101	3.19205973570967
fA6_fB4	0.92703503885188	1.32668554788757	2.92578218060567
fA6_fB5	1.15525919799328	0.531127234523722	2.17344980257694
fA6_fB6	0.00311898215538125	0.0001099035303797	0.00108412141671906
